method,phase,backend,seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
random,run,,2,True,-2089.6,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\random\eoh_obp_random_router_3_20260304_214811\seed_2\best_program.txt,2026-03-04T22:06:39,2026-03-04T22:13:16,
random,run,,3,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\random\eoh_obp_random_router_3_20260304_214811\seed_3\best_program.txt,2026-03-04T22:13:16,2026-03-04T22:19:05,
random,run,,4,True,-2066.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\random\eoh_obp_random_router_3_20260304_214811\seed_4\best_program.txt,2026-03-04T22:19:05,2026-03-04T22:28:55,
static_rule,run,,0,True,-2089.6,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\static_rule\eoh_obp_rule_router_3_20260304_222902\seed_0\best_program.txt,2026-03-04T22:29:02,2026-03-04T22:35:33,
static_rule,run,,1,True,-2089.6,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\static_rule\eoh_obp_rule_router_3_20260304_222902\seed_1\best_program.txt,2026-03-04T22:35:33,2026-03-04T22:42:26,
static_rule,run,,2,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\static_rule\eoh_obp_rule_router_3_20260304_222902\seed_2\best_program.txt,2026-03-04T22:42:26,2026-03-04T22:48:51,
static_rule,run,,3,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\static_rule\eoh_obp_rule_router_3_20260304_222902\seed_3\best_program.txt,2026-03-04T22:48:51,2026-03-04T22:54:56,
static_rule,run,,4,True,-2056.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\static_rule\eoh_obp_rule_router_3_20260304_222902\seed_4\best_program.txt,2026-03-04T22:54:56,2026-03-04T23:00:32,
bandit_learned,train,,0,True,-2089.6,36b1c02653f931c371ab91ccc5a03210944f6b719fb8cb4a7a94a46e0415f52e,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\bandit_learned\eoh_obp_bandit_train_3\seed_0\best_program.txt,2026-03-04T23:00:36,2026-03-04T23:12:00,
bandit_learned,train,,1,True,-2091.8,6255d06b67a22c684677a906398e157ec20882e3a19038679cdd92f86ce6d55f,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\bandit_learned\eoh_obp_bandit_train_3\seed_1\best_program.txt,2026-03-04T23:12:00,2026-03-04T23:23:13,
